title,genres,director,overview,text_stopword,text_clean
Perfume: The Story of a Murderer,"['Crime', 'Fantasy', 'Drama']",Tom Tykwer,"Jean-Baptiste Grenouille, born in the stench of 18th century Paris, develops a superior olfactory sense, which he uses to create the world's finest perfumes. However, his work takes a dark turn as he tries to preserve scents in the search for the ultimate perfume.","['jeanbaptiste', 'grenouille', 'bear', 'stench', '18th', 'century', 'paris', 'develop', 'superior', 'olfactory', 'sense', 'use', 'create', 'world', 'fine', 'perfume', 'however', 'work', 'take', 'dark', 'turn', 'try', 'preserve', 'scent', 'search', 'ultimate', 'perfume']",jeanbaptiste grenouille bear stench 18th century paris develop superior olfactory sense use create world fine perfume however work take dark turn try preserve scent search ultimate perfume
Austin Powers in Goldmember,"['Comedy', 'Crime', 'Science Fiction']",Jay Roach,"The world's most shagadelic spy continues his fight against Dr. Evil. This time, the diabolical doctor and his clone, Mini-Me, team up with a new foe -- '70s kingpin Goldmember. While pursuing the team of villains to stop them from world domination, Austin gets help from his dad and an old girlfriend.","['world', 'shagadelic', 'spy', 'continue', 'fight', 'dr', 'evil', 'time', 'diabolical', 'doctor', 'clone', 'minime', 'team', 'new', 'foe', '70s', 'kingpin', 'goldmember', 'pursue', 'team', 'villain', 'stop', 'world', 'domination', 'austin', 'get', 'help', 'dad', 'old', 'girlfriend']",world shagadelic spy continue fight evil time diabolical doctor clone minime team new foe 70s kingpin goldmember pursue team villain stop world domination austin get help dad old girlfriend
Astro Boy,"['Animation', 'Action', 'Family']",David Bowers,"Set in futuristic Metro City, Astro Boy is about a young robot with incredible powers created by a brilliant scientist in the image of the son he has lost. Unable to fulfill the grieving man's expectations, our hero embarks on a journey in search of acceptance, experiencing betrayal and a netherworld of robot gladiators, before he returns to save Metro City and reconcile with the father who had rejected him.","['set', 'futuristic', 'metro', 'city', 'astro', 'boy', 'young', 'robot', 'incredible', 'power', 'create', 'brilliant', 'scientist', 'image', 'son', 'lose', 'unable', 'fulfill', 'grieving', 'man', 'expectation', 'hero', 'embark', 'journey', 'search', 'acceptance', 'experience', 'betrayal', 'netherworld', 'robot', 'gladiator', 'return', 'save', 'metro', 'city', 'reconcile', 'father', 'reject']",set futuristic metro city astro boy young robot incredible power create brilliant scientist image son lose unable fulfill grieving man expectation hero embark journey search acceptance experience betrayal netherworld robot gladiator return save metro city reconcile father reject
Jurassic Park,"['Adventure', 'Science Fiction']",Steven Spielberg,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.","['wealthy', 'entrepreneur', 'secretly', 'create', 'theme', 'park', 'feature', 'living', 'dinosaur', 'draw', 'prehistoric', 'dna', 'opening', 'day', 'invite', 'team', 'expert', 'two', 'eager', 'grandchild', 'experience', 'park', 'help', 'calm', 'anxious', 'investor', 'however', 'park', 'anything', 'amuse', 'security', 'system', 'go', 'offline', 'dinosaur', 'escape']",wealthy entrepreneur secretly create theme park feature living dinosaur draw prehistoric dna opening day invite team expert two eager grandchild experience park help calm anxious investor however park anything amuse security system offline dinosaur escape
Wyatt Earp,"['Drama', 'Action', 'Western']",Lawrence Kasdan,"Covering the life and times of one of the West's most iconic heroes Wyatt Earp weaves an intricate tale of Earp and his friends and family. With a star studded cast, sweeping cinematography and authentic costumes Wyatt Earp led the way during the Western revival in the 90's.","['cover', 'life', 'time', 'one', 'west', 'iconic', 'hero', 'wyatt', 'earp', 'weave', 'intricate', 'tale', 'earp', 'friend', 'family', 'star', 'stud', 'cast', 'sweep', 'cinematography', 'authentic', 'costume', 'wyatt', 'earp', 'lead', 'way', 'western', 'revival', '90s']",cover life time one west iconic hero wyatt earp weave intricate tale earp friend family star stud cast sweep cinematography authentic costume wyatt earp lead way western revival 90s
Clear and Present Danger,"['Action', 'Drama', 'Thriller']",Phillip Noyce,CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.,"['cia', 'analyst', 'jack', 'ryan', 'draw', 'illegal', 'war', 'fight', 'us', 'government', 'colombian', 'drug', 'cartel']",cia analyst jack ryan draw illegal war fight government colombian drug cartel
Dragon Blade,"['Action', 'Drama', 'Adventure']",Daniel Lee,"Huo An, the commander of the Protection Squad of the Western Regions, was framed by evil forces and becomes enslaved. On the other hand, a Roman general escapes to China after rescuing the Prince. The heroic duo meet in the Western Desert and a thrilling story unfolds.","['huo', 'commander', 'protection', 'squad', 'western', 'region', 'frame', 'evil', 'force', 'become', 'enslave', 'hand', 'roman', 'general', 'escape', 'china', 'rescue', 'prince', 'heroic', 'duo', 'meet', 'western', 'desert', 'thrilling', 'story', 'unfolds']",huo commander protection squad western region frame evil force become enslave hand roman general escape china rescue prince heroic duo meet western desert thrilling story unfolds
Little Man,"['Comedy', 'Crime']",Keenen Ivory Wayans,"After leaving the prison, the dwarf criminal Calvin Sims joins to his moron brother Percy to steal an expensive huge diamond in a jewelry for the mobster Walken. They are chased by the police, and Calvin hides the stone in the purse of the executive Vanessa Edwards, whose husband Darryl Edwards wants to have a baby. Percy convinces Calvin to dress like a baby and be left in front of the Edwards's house to get inside the house and retrieve the diamond. Darryl and Vanessa keep Calvin for the weekend and decide to adopt him, while Walken threatens Darryl to get the stone back.","['leave', 'prison', 'dwarf', 'criminal', 'calvin', 'sims', 'join', 'moron', 'brother', 'percy', 'steal', 'expensive', 'huge', 'diamond', 'jewelry', 'mobster', 'walken', 'chase', 'police', 'calvin', 'hide', 'stone', 'purse', 'executive', 'vanessa', 'edward', 'whose', 'husband', 'darryl', 'edward', 'want', 'baby', 'percy', 'convinces', 'calvin', 'dress', 'like', 'baby', 'leave', 'front', 'edwards', 'house', 'get', 'inside', 'house', 'retrieve', 'diamond', 'darryl', 'vanessa', 'keep', 'calvin', 'weekend', 'decide', 'adopt', 'walken', 'threatens', 'darryl', 'get', 'stone', 'back']",leave prison dwarf criminal calvin sims join moron brother percy steal expensive huge diamond jewelry mobster walken chase police calvin hide stone purse executive vanessa edward whose husband darryl edward want baby percy convinces calvin dress like baby leave front edwards house get inside house retrieve diamond darryl vanessa keep calvin weekend decide adopt walken threatens darryl get stone back
U-571,"['Action', 'Drama', 'Thriller']",Jonathan Mostow,"In the midst of World War II, the battle under the sea rages and the Nazis have the upper hand as the Allies are unable to crack their war codes. However, after a wrecked U-boat sends out an SOS signal, the Allies realise this is their chance to seize the 'enigma coding machine'.","['midst', 'world', 'war', 'ii', 'battle', 'sea', 'rage', 'nazi', 'upper', 'hand', 'ally', 'unable', 'crack', 'war', 'code', 'however', 'wrecked', 'uboat', 'send', 'sos', 'signal', 'ally', 'realise', 'chance', 'seize', 'enigma', 'coding', 'machine']",midst world war battle sea rage nazi upper hand ally unable crack war code however wrecked uboat send sos signal ally realise chance seize enigma coding machine
The American President,"['Comedy', 'Drama', 'Romance']",Rob Reiner,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.","['widow', 'us', 'president', 'andrew', 'shepherd', 'one', 'world', 'powerful', 'men', 'anything', 'want', 'covet', 'sydney', 'ellen', 'wade', 'washington', 'lobbyist', 'shepherd', 'attempt', 'court', 'spark', 'wild', 'rumor', 'decimate', 'approval', 'rating']",widow president andrew shepherd one world powerful men anything want covet sydney ellen wade washington lobbyist shepherd attempt court spark wild rumor decimate approval rating
The Love Guru,"['Comedy', 'Romance']",Marco Schnabel,"Born in America and raised in an Indian ashram, Pitka returns to his native land to seek his fortune as a spiritualist and self-help expert. His skills are put to the test when he must get a brokenhearted hockey player's marriage back on track in time for the man to help his team win the Stanley Cup.","['bear', 'america', 'raise', 'indian', 'ashram', 'pitka', 'return', 'native', 'land', 'seek', 'fortune', 'spiritualist', 'selfhelp', 'expert', 'skill', 'put', 'test', 'must', 'get', 'brokenhearted', 'hockey', 'player', 'marriage', 'back', 'track', 'time', 'man', 'help', 'team', 'win', 'stanley', 'cup']",bear america raise indian ashram pitka return native land seek fortune spiritualist selfhelp expert skill put test must get brokenhearted hockey player marriage back track time man help team win stanley cup
3000 Miles to Graceland,"['Action', 'Adventure', 'Comedy']",Demian Lichtenstein,"It was an ingenious enough plan: rob the Riviera Casino's count room during an Elvis impersonator convention. But Thomas Murphy decided to keep all the money for himself and shot all his partners, including recently-freed ex-con Michael Zane. With $3.2 million at stake, the Marshals Service closing in, Michael must track down Murphy.","['ingenious', 'enough', 'plan', 'rob', 'riviera', 'casino', 'count', 'room', 'elvis', 'impersonator', 'convention', 'thomas', 'murphy', 'decide', 'keep', 'money', 'shoot', 'partner', 'include', 'recentlyfreed', 'excon', 'michael', 'zane', '32', 'million', 'stake', 'marshal', 'service', 'closing', 'michael', 'must', 'track', 'murphy']",ingenious enough plan rob riviera casino count room elvis impersonator convention thomas murphy decide keep money shoot partner include recentlyfreed excon michael zane million stake marshal service closing michael must track murphy
The Hateful Eight,"['Crime', 'Drama', 'Mystery']",Quentin Tarantino,Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.,"['bounty', 'hunter', 'seek', 'shelter', 'rag', 'blizzard', 'get', 'catch', 'plot', 'betrayal', 'deception']",bounty hunter seek shelter rag blizzard get catch plot betrayal deception
Blades of Glory,"['Action', 'Comedy', 'Drama']",Josh Gordon,"When a much-publicized ice-skating scandal strips them of their gold medals, two world-class athletes skirt their way back onto the ice via a loophole that allows them to compete together as a pairs team.","['muchpublicized', 'iceskating', 'scandal', 'strip', 'gold', 'medal', 'two', 'worldclass', 'athlete', 'skirt', 'way', 'back', 'onto', 'ice', 'via', 'loophole', 'allow', 'compete', 'together', 'pair', 'team']",muchpublicized iceskating scandal strip gold medal two worldclass athlete skirt way back onto ice via loophole allow compete together pair team
Hop,"['Animation', 'Comedy', 'Family']",Tim Hill,"E.B., the Easter Bunny's teenage son, heads to Hollywood, determined to become a drummer in a rock 'n' roll band. In LA, he's taken in by Fred after the out-of-work slacker hits E.B. with his car.","['eb', 'easter', 'bunny', 'teenage', 'son', 'head', 'hollywood', 'determine', 'become', 'drummer', 'rock', 'n', 'roll', 'band', 'la', 'take', 'fred', 'outofwork', 'slacker', 'hit', 'eb', 'car']",easter bunny teenage son head hollywood determine become drummer rock roll band take fred outofwork slacker hit car
300,"['Action', 'Adventure', 'War']",Zack Snyder,"Based on Frank Miller's graphic novel, ""300"" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy.","['base', 'frank', 'miller', 'graphic', 'novel', '300', 'loosely', 'base', '480', 'bc', 'battle', 'thermopylae', 'king', 'sparta', 'lead', 'army', 'advancing', 'persians', 'battle', 'say', 'inspire', 'greece', 'band', 'together', 'persian', 'help', 'usher', 'world', 'first', 'democracy']",base frank miller graphic novel 300 loosely base 480 battle thermopylae king sparta lead army advancing persians battle say inspire greece band together persian help usher world first democracy
Meet the Fockers,"['Comedy', 'Romance']",Jay Roach,"Hard-to-crack ex-CIA man, Jack Byrnes and his wife, Dina head for the warmer climes of Florida to meet son-in-law-to-be, Greg Focker's parents. Unlike their happily matched offspring, the future in-laws find themselves in a situation of opposites that definitely do not attract.","['hardtocrack', 'excia', 'man', 'jack', 'byrnes', 'wife', 'dina', 'head', 'warmer', 'clime', 'florida', 'meet', 'soninlawtobe', 'greg', 'fockers', 'parent', 'unlike', 'happily', 'match', 'offspring', 'future', 'inlaws', 'find', 'situation', 'opposite', 'definitely', 'attract']",hardtocrack excia man jack byrnes wife dina head warmer clime florida meet soninlawtobe greg fockers parent unlike happily match offspring future inlaws find situation opposite definitely attract
Marley & Me,"['Comedy', 'Family']",David Frankel,"A newly married couple who, in the process of starting a family, learn many of life's important lessons from their trouble-loving retriever, Marley. Packed with plenty of laughs to lighten the load, the film explores the highs and lows of marriage, maturity and confronting one's own mortality, as seen through the lens of family life with a dog.","['newly', 'marry', 'couple', 'process', 'start', 'family', 'learn', 'many', 'lifes', 'important', 'lesson', 'troubleloving', 'retriever', 'marley', 'pack', 'plenty', 'laugh', 'lighten', 'load', 'film', 'explore', 'high', 'low', 'marriage', 'maturity', 'confront', 'one', 'mortality', 'see', 'lens', 'family', 'life', 'dog']",newly marry couple process start family learn many lifes important lesson troubleloving retriever marley pack plenty laugh lighten load film explore high low marriage maturity confront one mortality see lens family life dog
The Green Mile,"['Fantasy', 'Drama', 'Crime']",Frank Darabont,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cellblock's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.","['supernatural', 'tale', 'set', 'death', 'row', 'southern', 'prison', 'gentle', 'giant', 'john', 'coffey', 'possess', 'mysterious', 'power', 'heal', 'people', 'ailment', 'cellblock', 'head', 'guard', 'paul', 'edgecomb', 'recognize', 'coffeys', 'miraculous', 'gift', 'try', 'desperately', 'help', 'stave', 'condemned', 'man', 'execution']",supernatural tale set death row southern prison gentle giant john coffey possess mysterious power heal people ailment cellblock head guard paul edgecomb recognize coffeys miraculous gift try desperately help stave condemned man execution
Wild Hogs,"['Action', 'Adventure', 'Comedy']",Walt Becker,"Restless and ready for adventure, four suburban bikers leave the safety of their subdivision and head out on the open road. But complications ensue when they cross paths with an intimidating band of New Mexico bikers known as the Del Fuegos.","['restless', 'ready', 'adventure', 'four', 'suburban', 'bikers', 'leave', 'safety', 'subdivision', 'head', 'open', 'road', 'complication', 'ensue', 'cross', 'path', 'intimidate', 'band', 'new', 'mexico', 'bikers', 'know', 'del', 'fuego']",restless ready adventure four suburban bikers leave safety subdivision head open road complication ensue cross path intimidate band new mexico bikers know del fuego
Chicken Little,"['Animation', 'Family', 'Comedy']",Mark Dindal,"When the sky really is falling and sanity has flown the coop, who will rise to save the day? Together with his hysterical band of misfit friends, Chicken Little must hatch a plan to save the planet from alien invasion and prove that the world's biggest hero is a little chicken.","['sky', 'really', 'fall', 'sanity', 'fly', 'coop', 'rise', 'save', 'day', 'together', 'hysterical', 'band', 'misfit', 'friend', 'chicken', 'little', 'must', 'hatch', 'plan', 'save', 'planet', 'alien', 'invasion', 'prove', 'world', 'big', 'hero', 'little', 'chicken']",sky really fall sanity fly coop rise save day together hysterical band misfit friend chicken little must hatch plan save planet alien invasion prove world big hero little chicken
Gone Girl,"['Mystery', 'Thriller', 'Drama']",David Fincher,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","['wife', 'disappearance', 'become', 'focus', 'intense', 'medium', 'circus', 'man', 'see', 'spotlight', 'turn', 'suspect', 'may', 'innocent']",wife disappearance become focus intense medium circus man see spotlight turn suspect may innocent
The Bourne Identity,"['Action', 'Drama', 'Mystery']",Doug Liman,"Wounded to the brink of death and suffering from amnesia, Jason Bourne is rescued at sea by a fisherman. With nothing to go on but a Swiss bank account number, he starts to reconstruct his life, but finds that many people he encounters want him dead. However, Bourne realizes that he has the combat and mental skills of a world-class spy – but who does he work for?","['wound', 'brink', 'death', 'suffer', 'amnesia', 'jason', 'bourne', 'rescue', 'sea', 'fisherman', 'nothing', 'go', 'swiss', 'bank', 'account', 'number', 'start', 'reconstruct', 'life', 'find', 'many', 'people', 'encounter', 'want', 'dead', 'however', 'bourne', 'realizes', 'combat', 'mental', 'skill', 'worldclass', 'spy', 'work']",wound brink death suffer amnesia jason bourne rescue sea fisherman nothing swiss bank account number start reconstruct life find many people encounter want dead however bourne realizes combat mental skill worldclass spy work
GoldenEye,"['Adventure', 'Action', 'Thriller']",Martin Campbell,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,"['james', 'bond', 'must', 'unmask', 'mysterious', 'head', 'janus', 'syndicate', 'prevent', 'leader', 'utilize', 'goldeneye', 'weapon', 'system', 'inflict', 'devastate', 'revenge', 'britain']",james bond must unmask mysterious head janus syndicate prevent leader utilize goldeneye weapon system inflict devastate revenge britain
The General's Daughter,"['Crime', 'Drama', 'Mystery']",Simon West,"When the body of Army Capt. Elizabeth Campbell is found on a Georgia military base, two investigators, Warrant Officers Paul Brenner and Sara Sunhill, are ordered to solve her murder. What they uncover is anything but clear-cut. Unseemly details emerge about Campbell's life, leading to allegations of a possible military coverup of her death and the involvement of her father, Lt. Gen. Joseph Campbell.","['body', 'army', 'capt', 'elizabeth', 'campbell', 'find', 'georgia', 'military', 'base', 'two', 'investigator', 'warrant', 'officer', 'paul', 'brenner', 'sara', 'sunhill', 'order', 'solve', 'murder', 'uncover', 'anything', 'clearcut', 'unseemly', 'detail', 'emerge', 'campbell', 'life', 'lead', 'allegation', 'possible', 'military', 'coverup', 'death', 'involvement', 'father', 'lt', 'gen', 'joseph', 'campbell']",body army capt elizabeth campbell find georgia military base two investigator warrant officer paul brenner sara sunhill order solve murder uncover anything clearcut unseemly detail emerge campbell life lead allegation possible military coverup death involvement father gen joseph campbell
The Truman Show,"['Comedy', 'Drama']",Peter Weir,"Truman Burbank is the star of ""The Truman Show"", a 24-hour-a-day ""reality"" TV show that broadcasts every aspect of his life -- live and in color -- without his knowledge. His entire life has been an unending soap opera for consumption by the rest of the world. And everyone he knows -- including his wife and his best friend -- is really an actor, paid to be part of his life.","['truman', 'burbank', 'star', 'truman', 'show', '24houraday', 'reality', 'tv', 'show', 'broadcast', 'every', 'aspect', 'life', 'live', 'color', 'without', 'knowledge', 'entire', 'life', 'unending', 'soap', 'opera', 'consumption', 'rest', 'world', 'everyone', 'know', 'include', 'wife', 'best', 'friend', 'really', 'actor', 'pay', 'part', 'life']",truman burbank star truman show 24houraday reality show broadcast every aspect life live color without knowledge entire life unending soap opera consumption rest world everyone know include wife best friend really actor pay part life
The Prince of Egypt,"['Adventure', 'Animation', 'Drama']",Simon Wells,"This is the extraordinary tale of two brothers named Moses and Ramses, one born of royal blood, and one an orphan with a secret past. Growing up the best of friends, they share a strong bond of free-spirited youth and good-natured rivalry. But the truth will ultimately set them at odds, as one becomes the ruler of the most powerful empire on earth, and the other the chosen leader of his people! Their final confrontation will forever change their lives and the world.","['extraordinary', 'tale', 'two', 'brother', 'name', 'moses', 'ram', 'one', 'born', 'royal', 'blood', 'one', 'orphan', 'secret', 'past', 'grow', 'best', 'friend', 'share', 'strong', 'bond', 'freespirited', 'youth', 'goodnatured', 'rivalry', 'truth', 'ultimately', 'set', 'odds', 'one', 'become', 'ruler', 'powerful', 'empire', 'earth', 'chosen', 'leader', 'people', 'final', 'confrontation', 'forever', 'change', 'life', 'world']",extraordinary tale two brother name moses ram one born royal blood one orphan secret past grow best friend share strong bond freespirited youth goodnatured rivalry truth ultimately set odds one become ruler powerful empire earth chosen leader people final confrontation forever change life world
Daddy Day Care,"['Comedy', 'Family']",Steve Carr,"Two men get laid off and have to become stay-at-home dads when they can't find jobs, which inspires them to open their own day-care center.","['two', 'men', 'get', 'lay', 'become', 'stayathome', 'dad', 'cant', 'find', 'job', 'inspire', 'open', 'daycare', 'center']",two men get lay become stayathome dad cant find job inspire open daycare center
2 Guns,"['Action', 'Comedy', 'Crime']",Baltasar Kormákur,A DEA agent and an undercover Naval Intelligence officer who have been tasked with investigating one another find they have been set up by the mob -- the very organization the two men believe they have been stealing money from.,"['dea', 'agent', 'undercover', 'naval', 'intelligence', 'officer', 'task', 'investigate', 'one', 'another', 'find', 'set', 'mob', 'organization', 'two', 'men', 'believe', 'steal', 'money']",dea agent undercover naval intelligence officer task investigate one another find set mob organization two men believe steal money
Cats & Dogs,"['Comedy', 'Family']",Lawrence Guterman,"When a professor develops a vaccine that eliminates human allergies to dogs, he unwittingly upsets the fragile balance of power between cats and dogs and touches off an epic battle for pet supremacy. The fur flies as the feline faction, led by Mr. Tinkles, squares off against wide-eyed puppy Lou and his canine cohorts.","['professor', 'develop', 'vaccine', 'eliminate', 'human', 'allergy', 'dog', 'unwittingly', 'upset', 'fragile', 'balance', 'power', 'cat', 'dog', 'touch', 'epic', 'battle', 'pet', 'supremacy', 'fur', 'fly', 'feline', 'faction', 'lead', 'mr', 'tinkle', 'square', 'wideeyed', 'puppy', 'lou', 'canine', 'cohort']",professor develop vaccine eliminate human allergy dog unwittingly upset fragile balance power cat dog touch epic battle pet supremacy fur fly feline faction lead tinkle square wideeyed puppy lou canine cohort
The Italian Job,"['Action', 'Crime']",F. Gary Gray,"Charlie Croker pulled off the crime of a lifetime. The one thing that he didn't plan on was being double-crossed. Along with a drop-dead gorgeous safecracker, Croker and his team take off to re-steal the loot and end up in a pulse-pounding, pedal-to-the-metal chase that careens up, down, above and below the streets of Los Angeles.","['charlie', 'croker', 'pull', 'crime', 'lifetime', 'one', 'thing', 'didnt', 'plan', 'doublecrossed', 'along', 'dropdead', 'gorgeous', 'safecracker', 'croker', 'team', 'take', 'resteal', 'loot', 'end', 'pulsepounding', 'pedaltothemetal', 'chase', 'careen', 'street', 'los', 'angeles']",charlie croker pull crime lifetime one thing didnt plan doublecrossed along dropdead gorgeous safecracker croker team take resteal loot end pulsepounding pedaltothemetal chase careen street los angeles
Two Weeks Notice,"['Romance', 'Comedy']",Marc Lawrence,"Dedicated environmental lawyer Lucy Kelson goes to work for billionaire George Wade as part of a deal to preserve a community center. Indecisive and weak-willed George grows dependent on Lucy's guidance on everything from legal matters to clothing. Exasperated, Lucy gives notice and picks Harvard graduate June Carter as her replacement. As Lucy's time at the firm nears an end, she grows jealous of June and has second thoughts about leaving George.","['dedicate', 'environmental', 'lawyer', 'lucy', 'kelson', 'go', 'work', 'billionaire', 'george', 'wade', 'part', 'deal', 'preserve', 'community', 'center', 'indecisive', 'weakwilled', 'george', 'grows', 'dependent', 'lucys', 'guidance', 'everything', 'legal', 'matter', 'clothing', 'exasperate', 'lucy', 'give', 'notice', 'pick', 'harvard', 'graduate', 'june', 'carter', 'replacement', 'lucys', 'time', 'firm', 'near', 'end', 'grow', 'jealous', 'june', 'second', 'thought', 'leave', 'george']",dedicate environmental lawyer lucy kelson work billionaire george wade part deal preserve community center indecisive weakwilled george grows dependent lucys guidance everything legal matter clothing exasperate lucy give notice pick harvard graduate june carter replacement lucys time firm near end grow jealous june second thought leave george
Antz,"['Adventure', 'Animation', 'Comedy']",Eric Darnell,"In this animated hit, a neurotic worker ant in love with a rebellious princess rises to unlikely stardom when he switches places with a soldier. Signing up to march in a parade, he ends up under the command of a bloodthirsty general. But he's actually been enlisted to fight against a termite army.","['animated', 'hit', 'neurotic', 'worker', 'ant', 'love', 'rebellious', 'princess', 'rise', 'unlikely', 'stardom', 'switch', 'place', 'soldier', 'sign', 'march', 'parade', 'end', 'command', 'bloodthirsty', 'general', 'actually', 'enlist', 'fight', 'termite', 'army']",animated hit neurotic worker ant love rebellious princess rise unlikely stardom switch place soldier sign march parade end command bloodthirsty general actually enlist fight termite army
Couples Retreat,"['Comedy', 'Romance']",Peter Billingsley,"Four couples, all friends, descend on a tropical island resort. Though one husband and wife are there to work on their marriage, the others just want to enjoy some fun in the sun. They soon find, however, that paradise comes at a price: Participation in couples therapy sessions is mandatory. What started out as a cut-rate vacation turns into an examination of the common problems many face.","['four', 'couple', 'friend', 'descend', 'tropical', 'island', 'resort', 'though', 'one', 'husband', 'wife', 'work', 'marriage', 'others', 'want', 'enjoy', 'fun', 'sun', 'soon', 'find', 'however', 'paradise', 'come', 'price', 'participation', 'couple', 'therapy', 'session', 'mandatory', 'start', 'cutrate', 'vacation', 'turn', 'examination', 'common', 'problem', 'many', 'face']",four couple friend descend tropical island resort though one husband wife work marriage others want enjoy fun sun soon find however paradise come price participation couple therapy session mandatory start cutrate vacation turn examination common problem many face
Days of Thunder,['Adventure'],Tony Scott,"Talented but unproven stock car driver Cole Trickle gets a break and with the guidance of veteran Harry Hogge turns heads on the track. The young hotshot develops a rivalry with a fellow racer that threatens his career when the two smash their cars. But with the help of his doctor, Cole just might overcome his injuries-- and his fear.","['talented', 'unproven', 'stock', 'car', 'driver', 'cole', 'trickle', 'get', 'break', 'guidance', 'veteran', 'harry', 'hogge', 'turn', 'head', 'track', 'young', 'hotshot', 'develop', 'rivalry', 'fellow', 'racer', 'threaten', 'career', 'two', 'smash', 'car', 'help', 'doctor', 'cole', 'might', 'overcome', 'injury', 'fear']",talented unproven stock car driver cole trickle get break guidance veteran harry hogge turn head track young hotshot develop rivalry fellow racer threaten career two smash car help doctor cole might overcome injury fear
Cheaper by the Dozen 2,['Comedy'],Adam Shankman,"Steve Martin and Bonnie Hunt return as heads of the Baker family who, while on vacation, find themselves in competition with a rival family of eight children, headed by Eugene Levy,","['steve', 'martin', 'bonnie', 'hunt', 'return', 'head', 'baker', 'family', 'vacation', 'find', 'competition', 'rival', 'family', 'eight', 'child', 'head', 'eugene', 'levy']",steve martin bonnie hunt return head baker family vacation find competition rival family eight child head eugene levy
Maze Runner: The Scorch Trials,['Action'],Wes Ball,"Thomas and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKD’s vastly superior forces and uncover its shocking plans for them all.","['thomas', 'fellow', 'gladers', 'face', 'great', 'challenge', 'yet', 'search', 'clue', 'mysterious', 'powerful', 'organization', 'know', 'wckd', 'journey', 'take', 'scorch', 'desolate', 'landscape', 'fill', 'unimaginable', 'obstacle', 'team', 'resistance', 'fighter', 'gladers', 'take', 'wckd', 'vastly', 'superior', 'force', 'uncover', 'shocking', 'plan']",thomas fellow gladers face great challenge yet search clue mysterious powerful organization know wckd journey take scorch desolate landscape fill unimaginable obstacle team resistance fighter gladers take wckd vastly superior force uncover shocking plan
Eat Pray Love,['Drama'],Ryan Murphy,"Liz Gilbert had everything a modern woman is supposed to dream of having – a husband, a house and a successful career – yet like so many others, she found herself lost, confused and searching for what she really wanted in life. Newly divorced and at a crossroads, Gilbert steps out of her comfort zone, risking everything to change her life, embarking on a journey around the world that becomes a quest for self-discovery. In her travels, she discovers the true pleasure of nourishment by eating in Italy, the power of prayer in India and, finally and unexpectedly, the inner peace and balance of true love in Bali.","['liz', 'gilbert', 'everything', 'modern', 'woman', 'suppose', 'dream', 'husband', 'house', 'successful', 'career', 'yet', 'like', 'many', 'others', 'find', 'lose', 'confused', 'search', 'really', 'want', 'life', 'newly', 'divorce', 'crossroad', 'gilbert', 'step', 'comfort', 'zone', 'risk', 'everything', 'change', 'life', 'embark', 'journey', 'around', 'world', 'become', 'quest', 'selfdiscovery', 'travel', 'discover', 'true', 'pleasure', 'nourishment', 'eat', 'italy', 'power', 'prayer', 'india', 'finally', 'unexpectedly', 'inner', 'peace', 'balance', 'true', 'love', 'bali']",liz gilbert everything modern woman suppose dream husband house successful career yet like many others find lose confused search really want life newly divorce crossroad gilbert step comfort zone risk everything change life embark journey around world become quest selfdiscovery travel discover true pleasure nourishment eat italy power prayer india finally unexpectedly inner peace balance true love bali
